,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Los Andes,CL,-32.8337,-70.5983,68.58,73,8,2.24,clear sky
189,Gien,FR,47.6933,2.6309,28.54,78,0,6.6,clear sky
190,Shingu,JP,33.7333,135.9833,52.79,34,6,3.09,clear sky
191,Moron,AR,-34.6534,-58.6198,77.02,83,75,13.8,thunderstorm with rain
192,Alexandria,EG,31.2156,29.9553,58.57,66,94,15.08,overcast clouds
193,Ambilobe,MG,-13.2,49.05,74.53,93,12,2.73,few clouds
194,Cururupu,BR,-1.8283,-44.8683,74.75,93,14,2.68,few clouds
195,Hwange,ZW,-18.3693,26.5019,66.42,97,96,3.15,light rain
196,Sainte-Maxime,FR,43.3,6.6333,48.54,50,0,4.63,clear sky
197,Flinders,AU,-34.5833,150.8552,84.79,79,78,5.99,broken clouds
198,Fairbanks,US,64.8378,-147.7164,6.76,83,100,0.0,overcast clouds
199,Kiunga,PG,-6.1219,141.2906,78.84,82,99,3.49,overcast clouds
200,Bubaque,GW,11.2833,-15.8333,77.67,73,61,15.37,broken clouds
201,Pisco,PE,-13.7,-76.2167,71.65,78,75,9.22,broken clouds
202,Horki,BY,54.2861,30.9842,27.21,91,100,12.24,overcast clouds
203,Esperance,AU,-33.8667,121.9,70.21,63,1,13.35,clear sky
204,Lima,PE,-12.0432,-77.0282,72.14,83,75,6.91,broken clouds
205,Karratha,AU,-20.7377,116.8463,94.01,37,1,5.95,clear sky
206,Dingle,PH,10.9995,122.6711,79.39,74,88,18.41,overcast clouds
207,Sibu,MY,2.3,111.8167,82.71,83,40,2.3,scattered clouds
208,Pokhara,NP,28.2333,83.9833,49.77,31,37,4.45,scattered clouds
209,Ndago,TZ,-4.6,34.35,61.88,94,100,1.07,light rain
210,Camapua,BR,-19.5314,-54.0439,79.25,65,100,1.79,overcast clouds
211,Eydhafushi,MV,5.1033,73.0708,82.22,73,100,13.15,overcast clouds
212,Ciudad Guayana,VE,8.3533,-62.6528,78.53,88,48,6.22,scattered clouds
213,Kouroussa,GN,10.65,-9.8833,76.68,24,97,5.57,overcast clouds
214,Kerema,PG,-7.9631,145.7785,84.06,71,25,8.79,scattered clouds
215,Endicott,US,42.0984,-76.0494,4.35,75,0,1.01,clear sky
216,Natal,BR,-5.795,-35.2094,75.85,100,40,3.44,scattered clouds
217,Paamiut,GL,61.994,-49.6678,26.26,94,100,9.95,light snow
218,Santa Cruz,BO,-17.8,-63.1667,76.46,83,20,10.36,few clouds
219,Glendive,US,47.1053,-104.7125,39.18,73,0,4.61,clear sky
220,Bahia Blanca,AR,-38.7196,-62.2724,77.83,45,100,8.28,overcast clouds
221,Khatanga,RU,71.9667,102.5,-18.63,95,16,5.06,few clouds
222,Komsomolskiy,UZ,40.4272,71.7189,40.42,55,59,6.91,broken clouds
223,Saint-Pierre,RE,-21.3393,55.4781,78.48,79,0,5.75,clear sky
224,Billings,US,45.7833,-108.5007,42.57,50,75,17.27,broken clouds
225,Port Hardy,CA,50.6996,-127.4199,46.76,100,75,2.3,broken clouds
226,Sitka,US,57.0531,-135.33,42.69,81,100,5.75,overcast clouds
227,Eureka,US,40.8021,-124.1637,49.57,87,34,3.13,scattered clouds
228,Mount Gambier,AU,-37.8333,140.7667,83.68,32,0,6.51,clear sky
229,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,14.97,few clouds
230,Katsuura,JP,35.1333,140.3,46.44,58,9,1.28,clear sky
231,Rocha,UY,-34.4833,-54.3333,72.48,93,84,6.98,moderate rain
232,Guerrero Negro,MX,27.9769,-114.0611,67.6,53,10,7.9,clear sky
233,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,100,5.61,overcast clouds
234,Roald,NO,62.5833,6.1333,44.74,76,100,26.46,overcast clouds
